TransactionID,card1,card2,addr1,TransactionAmt,card5,D15,C13,D2,D10,D4,weekday,hours,dist_mean,dist_median,dist_mean_rel,dist_median_rel
3014047,17188,321.0,299.0,34.5,226.0,377.0,8.0,226.0,377.0,377.0,0.0,21.0,-95.0247757951768,-48.45,-0.7336416929641603,-0.5840867992766727
3081624,16783,282.0,428.0,171.0,226.0,265.0,18.0,nan,265.0,328.0,1.0,15.0,-26.13672727272734,54.0,-0.13258172454374106,0.46153846153846156
3489930,17404,581.0,325.0,129.95,226.0,619.0,3.0,530.0,619.0,489.0,5.0,15.0,-25.624181818181796,31.999999999999986,-0.16470716103863917,0.3266972945380294
3356483,16691,170.0,315.0,49.0,102.0,0.0,1.0,nan,0.0,0.0,1.0,11.0,-109.7387575757576,-43.0,-0.6913167222150212,-0.4673913043478261
3013770,16116,568.0,325.0,34.0,226.0,0.0,1.0,nan,0.0,0.0,0.0,20.0,-85.440483870968,-25.0,-0.7153393983506436,-0.423728813559322
2991591,6053,122.0,441.0,186.0,195.0,nan,1.0,nan,0.0,nan,1.0,22.0,-21.360962962963214,109.0,-0.10301342479190985,1.4155844155844155
3265323,11839,490.0,123.0,57.95,226.0,0.0,71.0,14.0,103.0,490.0,1.0,13.0,-71.86838223140616,-17.049999999999997,-0.5536071317180494,-0.2273333333333333
3080031,8320,476.0,485.0,30.95,166.0,34.0,4.0,25.0,34.0,34.0,0.0,4.0,-70.63684811572398,-28.05,-0.6953345775159506,-0.4754237288135593
3080390,6062,159.0,325.0,100.0,117.0,nan,1.0,nan,nan,nan,1.0,11.0,-103.89057553956849,11.049999999999997,-0.5095408420160485,0.1242270938729623
3456816,13249,111.0,264.0,226.0,226.0,41.0,19.0,6.0,620.0,502.0,6.0,3.0,106.02135258562686,155.913,0.8836685099429265,2.2245637564740965
3407715,17254,508.0,269.0,209.95,226.0,248.0,2.0,249.0,248.0,0.0,3.0,3.0,97.80147058823536,101.99999999999999,0.8720709143598968,0.9448818897637794
3230738,12512,555.0,325.0,39.0,226.0,362.0,11.0,9.0,362.0,362.0,3.0,22.0,-10.285714285714285,-10.0,-0.20869565217391303,-0.20408163265306123
3439112,7103,555.0,264.0,54.0,226.0,604.0,28.0,255.0,111.0,79.0,0.0,16.0,-68.15882352941178,-46.0,-0.557952520826311,-0.46
3546051,12544,321.0,337.0,29.95,226.0,426.0,6.0,86.0,86.0,426.0,3.0,12.0,-79.0421571005882,-29.05,-0.7252095857469879,-0.4923728813559322
3563753,9500,321.0,272.0,36.95,226.0,28.0,3.0,27.0,28.0,28.0,2.0,15.0,-78.59791347788108,-22.049999999999997,-0.6802192364375909,-0.37372881355932197
3256098,9540,555.0,330.0,139.0,226.0,227.0,9.0,131.0,97.0,502.0,5.0,14.0,-15.0,-2.0,-0.09740259740259741,-0.014184397163120567
3514043,1546,111.0,204.0,141.0,226.0,15.0,2.0,14.0,15.0,15.0,6.0,13.0,-23.99634146341461,75.775,-0.14543559724162386,1.1617477960904563
3521710,10960,567.0,337.0,49.0,117.0,275.0,13.0,275.0,233.0,275.0,1.0,22.0,-66.33654851889607,-26.950000000000003,-0.575156352177713,-0.3548387096774194
3377381,12235,478.0,184.0,117.0,226.0,44.0,4.0,37.0,44.0,nan,1.0,12.0,-114.41649746192888,0.0,-0.4944180674964711,0.0
3463762,9500,321.0,126.0,264.95,226.0,129.0,6.0,77.0,129.0,nan,2.0,20.0,149.4020865221189,205.95,1.2929881814847173,3.490677966101695
3130915,15885,545.0,nan,45.299,138.0,7.0,2.0,7.0,0.0,7.0,5.0,4.0,5.832931958962298,16.779999999999998,0.14779612584909865,0.5883796767067567
